word,original,pos,accent,note,source
いつ,五,数詞,HL,,近畿日本語アクセント辞典
いつか,五日,Noun,HHH,,Wikibooks
いつたり,五人,数,HHLL/HHHL,ほぼ廃語であり、どちらが通則か不明。編者は二つの型を観測。いずれも大阪府大東市。,近畿日本語アクセント辞典
いつつ,五つ,数,LHL/HHL,HHLは強調形,近畿日本語アクセント辞典
いつわり,偽り,動名詞,HHHH,,近畿日本語アクセント辞典
いつわる,偽る,五段,HHHH,,近畿日本語アクセント辞典
いてまう,,五段(俗),HHHH,,近畿日本語アクセント辞典
いと,いと,副,HL,,近畿日本語アクセント辞典
いとコン,糸蒟,名,LLLH,,近畿日本語アクセント辞典
いとコンニャク,糸蒟蒻,名,LLHLLL,,近畿日本語アクセント辞典
いど,井戸,名,LH↘,,近畿日本語アクセント辞典
いどがえ,井戸替え,名,LLLH,,近畿日本語アクセント辞典
いなか,田舎,名,HHH,,近畿日本語アクセント辞典
いなご,蝗,名,LHL,,近畿日本語アクセント辞典
いぬ,往ぬ,五段・ナ変,HH,,近畿日本語アクセント辞典
いのく,,五段(俗),HHH,,近畿日本語アクセント辞典
いのしし,猪,名,HLLL,若い世代ではLHLLとも。（山型化？）,近畿日本語アクセント辞典
いのち,命,名,HLL,,近畿日本語アクセント辞典
いぼ,疣,名,LH,,近畿日本語アクセント辞典
いま,居間,名,HL,,近畿日本語アクセント辞典
いまい,今い,形(俗),HLL,,近畿日本語アクセント辞典
いまだ,未だ,副,LLH,古くはLHH,近畿日本語アクセント辞典
いまでがわ,今出川,地名,LLHLL,,近畿日本語アクセント辞典
いみ,意味,Noun,HL,,Wikibooks
いも,芋,名,HL,注意：「お」を付けるとLLHに変化,近畿日本語アクセント辞典
いもうと,妹,名,HHHH,,近畿日本語アクセント辞典
いもり,井守,名,LHL,,近畿日本語アクセント辞典
いや,嫌,形動ヤ,HH,,近畿日本語アクセント辞典
いやしい,卑しい,形,HHLL,,近畿日本語アクセント辞典
いよ,伊予,地名,LH↘,,近畿日本語アクセント辞典
いらう,,五段,HHH,,近畿日本語アクセント辞典
いらち,,名(俗),LHL,,近畿日本語アクセント辞典
いらっしゃる,,五段,HHHHH,,近畿日本語アクセント辞典
いりぐち,入り口,名,HHHH,,近畿日本語アクセント辞典
いる,,上一段,HH,,近畿日本語アクセント辞典
いれもの,入れ物,名,HHHH,,近畿日本語アクセント辞典
いれる,入れる,下一段,HHH,,近畿日本語アクセント辞典
いろ,色,名,HL,,近畿日本語アクセント辞典
いろいろ,色々,"Noun, Adjective, な-adjective, Adverb","LLLH, LHLL",,Wikibooks
いろどり,彩り,動名詞,HHHH,,近畿日本語アクセント辞典
いろどる,彩る,五段,HHHH,,近畿日本語アクセント辞典
いわ,岩,名,HL,,近畿日本語アクセント辞典
いわい,祝い,動名詞,HHH,注意：「お」を付ける場合はLLLH,近畿日本語アクセント辞典
いわお,巌,名,HHH,,近畿日本語アクセント辞典
いわおこし,岩粔籹,名,HHHLL,,近畿日本語アクセント辞典
いわく,曰く,副助・名,HLL,,近畿日本語アクセント辞典
いわし,鰯,名,HHH,,近畿日本語アクセント辞典
いわれ,磐余,地名,HHH,,近畿日本語アクセント辞典
いんジャン,石石？,名(俗),HLLL,,近畿日本語アクセント辞典
う,卯,名,H(HL),,近畿日本語アクセント辞典
うい,憂い,形,HL,,近畿日本語アクセント辞典
うえ,植ゑ,動名詞,HH,,近畿日本語アクセント辞典
うえき,植木,名,HHH,,近畿日本語アクセント辞典
うえきや,植木屋,名,HHHH,,近畿日本語アクセント辞典
うえる,植ゑる,下一段,HHH,,近畿日本語アクセント辞典
うお,魚,名,HH,,近畿日本語アクセント辞典
うかがう,伺ふ,五段,HHHH,,近畿日本語アクセント辞典
うかぶ,浮かぶ,五段,HHH,,近畿日本語アクセント辞典
うかべる,浮かべる,下一段,HHHH,,近畿日本語アクセント辞典
うかる,受かる,五段,HHH,,近畿日本語アクセント辞典
うきも,浮藻,名,HHH,,近畿日本語アクセント辞典
うく,浮く,五段,HH,,近畿日本語アクセント辞典
うけたまわる,承る,五段,LLLLLH,,近畿日本語アクセント辞典
うける,受ける,下一段,LLH,,近畿日本語アクセント辞典
うごかす,動かす,五段,HHHH,,近畿日本語アクセント辞典
うごく,動く,五段,HHH,派生形（いごく・いのく）も同様。,近畿日本語アクセント辞典
うさ,憂さ,名,HL,,近畿日本語アクセント辞典
うさぎ,兎,名,LLH,,近畿日本語アクセント辞典
うざい,,形(俗),HLL,,近畿日本語アクセント辞典
うし,牛,名,HH,,近畿日本語アクセント辞典
うしろ,後ろ,名,LHL,,近畿日本語アクセント辞典
うじ,氏,名,HL,,近畿日本語アクセント辞典
うす,臼,名,LH,,近畿日本語アクセント辞典
うすい,薄い,形,HLL,,近畿日本語アクセント辞典
うすさ,薄さ,名,LHL,,近畿日本語アクセント辞典
うすっぺらい,薄っぺらい,形,HHHHLL,,近畿日本語アクセント辞典
うそ,嘘,名,LH,,近畿日本語アクセント辞典
うた,歌,名,HL,,近畿日本語アクセント辞典
うたう,歌ふ,五段,HHH,,近畿日本語アクセント辞典
うたがう,疑ふ,五段,HHHH,,近畿日本語アクセント辞典
うち,内・家,名,HL,,近畿日本語アクセント辞典
うちがわ,内側,名,HHHH,,近畿日本語アクセント辞典
うっかり,,副・名,LLHL,,近畿日本語アクセント辞典
うっかりもの,うっかり者,名,LLLLLH,,近畿日本語アクセント辞典
うっとこ,内所,名(俗),HHHH,,近畿日本語アクセント辞典
うつ,打つ,五段,LH,,近畿日本語アクセント辞典
うつくしい,美しい,形,HHHLL,,近畿日本語アクセント辞典
うつす,映す,五段,HHH,,近畿日本語アクセント辞典
うつつ,現,名,HHH,,近畿日本語アクセント辞典
うつる,映る,五段,HHH,,近畿日本語アクセント辞典
うつわ,器,名,HHH,,近畿日本語アクセント辞典
うてな,台,名,HHL,,近畿日本語アクセント辞典
うで,腕,名,HL,,近畿日本語アクセント辞典
うでどケイ,腕時計,名,HHHLL,,近畿日本語アクセント辞典
うど,独活,名,HL,,近畿日本語アクセント辞典
うなぎ,鰻,名,LLH,,近畿日本語アクセント辞典
うに,海胆,名,LH,,近畿日本語アクセント辞典
うね,畝,名,HL,,近畿日本語アクセント辞典
うねび,畝傍,地名,HLL,,近畿日本語アクセント辞典
うば,乳母,名,HL,,近畿日本語アクセント辞典
うばう,奪ふ,五段,HHH,,近畿日本語アクセント辞典
うべ,宜,名,HL,,近畿日本語アクセント辞典
うま,馬,名,HL,,近畿日本語アクセント辞典
うまい,上手い・旨い,形,HLL,,近畿日本語アクセント辞典
うまおい,馬追,名,HHHH,,近畿日本語アクセント辞典
うまく,上手く,形(用),LHL,,近畿日本語アクセント辞典
うまれかわる,生まれ変わる,1-verb,HHHHHH,,Wikibooks
うまれる,生まれる,"Verb, 2-verb, Intransitive verb",HHHH,,Wikibooks
うみ,生む,五段,LH,,近畿日本語アクセント辞典
うみべ,海辺,名,LLH,,近畿日本語アクセント辞典
うめ,梅,名,HH,,近畿日本語アクセント辞典
うめだ,梅田,地名,LLH,古形はHHH？,近畿日本語アクセント辞典
